0,0,0|140.556,199.139,100
8.78475,18.6693,18.75|13.1771,24.8924,21.875
17.5695,0,12.5|35.139,24.8924,25
17.5695,0,12.5|26.3542,12.4462,18.75
17.5695,0,12.5|21.9619,6.22311,15.625
17.5695,6.22311,12.5|21.9619,12.4462,15.625
26.3542,0,12.5|35.139,12.4462,18.75
26.3542,0,12.5|30.7466,6.22311,15.625
26.3542,6.22311,12.5|30.7466,12.4462,15.625
17.5695,12.4462,12.5|26.3542,24.8924,18.75
17.5695,12.4462,12.5|21.9619,18.6693,15.625
17.5695,18.6693,12.5|21.9619,24.8924,15.625
26.3542,12.4462,12.5|35.139,24.8924,18.75
26.3542,12.4462,12.5|30.7466,18.6693,15.625
26.3542,18.6693,12.5|30.7466,24.8924,15.625
17.5695,0,18.75|26.3542,12.4462,25
17.5695,0,18.75|21.9619,6.22311,21.875
17.5695,6.22311,18.75|21.9619,12.4462,21.875
26.3542,0,18.75|35.139,12.4462,25
26.3542,0,18.75|30.7466,6.22311,21.875
26.3542,6.22311,18.75|30.7466,12.4462,21.875
17.5695,12.4462,18.75|26.3542,24.8924,25
17.5695,12.4462,18.75|21.9619,18.6693,21.875
17.5695,18.6693,18.75|21.9619,24.8924,21.875
26.3542,12.4462,18.75|35.139,24.8924,25
26.3542,12.4462,18.75|30.7466,18.6693,21.875
26.3542,18.6693,18.75|30.7466,24.8924,21.875
0,24.8924,12.5|17.5695,49.7848,25
0,24.8924,12.5|8.78475,37.3386,18.75
0,24.8924,12.5|4.39237,31.1155,15.625
0,31.1155,12.5|4.39237,37.3386,15.625
8.78475,24.8924,12.5|17.5695,37.3386,18.75
8.78475,24.8924,12.5|13.1771,31.1155,15.625
8.78475,31.1155,12.5|13.1771,37.3386,15.625
0,37.3386,12.5|8.78475,49.7848,18.75
0,37.3386,12.5|4.39237,43.5617,15.625
0,43.5617,12.5|4.39237,49.7848,15.625
8.78475,37.3386,12.5|17.5695,49.7848,18.75
8.78475,37.3386,12.5|13.1771,43.5617,15.625
8.78475,43.5617,12.5|13.1771,49.7848,15.625
0,24.8924,18.75|8.78475,37.3386,25
0,24.8924,18.75|4.39237,31.1155,21.875
0,31.1155,18.75|4.39237,37.3386,21.875
8.78475,24.8924,18.75|17.5695,37.3386,25
8.78475,24.8924,18.75|13.1771,31.1155,21.875
8.78475,31.1155,18.75|13.1771,37.3386,21.875
0,37.3386,18.75|8.78475,49.7848,25
0,37.3386,18.75|4.39237,43.5617,21.875
0,43.5617,18.75|4.39237,49.7848,21.875
8.78475,37.3386,18.75|17.5695,49.7848,25
8.78475,37.3386,18.75|13.1771,43.5617,21.875
8.78475,43.5617,18.75|13.1771,49.7848,21.875
17.5695,24.8924,12.5|35.139,49.7848,25
17.5695,24.8924,12.5|26.3542,37.3386,18.75
17.5695,24.8924,12.5|21.9619,31.1155,15.625
17.5695,31.1155,12.5|21.9619,37.3386,15.625
26.3542,24.8924,12.5|35.139,37.3386,18.75
26.3542,24.8924,12.5|30.7466,31.1155,15.625
26.3542,31.1155,12.5|30.7466,37.3386,15.625
17.5695,37.3386,12.5|26.3542,49.7848,18.75
17.5695,37.3386,12.5|21.9619,43.5617,15.625
17.5695,43.5617,12.5|21.9619,49.7848,15.625
26.3542,37.3386,12.5|35.139,49.7848,18.75
26.3542,37.3386,12.5|30.7466,43.5617,15.625
26.3542,43.5617,12.5|30.7466,49.7848,15.625
17.5695,24.8924,18.75|26.3542,37.3386,25
17.5695,24.8924,18.75|21.9619,31.1155,21.875
17.5695,31.1155,18.75|21.9619,37.3386,21.875
26.3542,24.8924,18.75|35.139,37.3386,25
26.3542,24.8924,18.75|30.7466,31.1155,21.875
26.3542,31.1155,18.75|30.7466,37.3386,21.875
17.5695,37.3386,18.75|26.3542,49.7848,25
17.5695,37.3386,18.75|21.9619,43.5617,21.875
17.5695,43.5617,18.75|21.9619,49.7848,21.875
26.3542,37.3386,18.75|35.139,49.7848,25
26.3542,37.3386,18.75|30.7466,43.5617,21.875
26.3542,43.5617,18.75|30.7466,49.7848,21.875
35.139,0,0|70.278,49.7848,25
35.139,0,0|52.7085,24.8924,12.5
35.139,0,0|43.9237,12.4462,6.25
35.139,0,0|39.5314,6.22311,3.125
35.139,6.22311,0|39.5314,12.4462,3.125
43.9237,0,0|52.7085,12.4462,6.25
43.9237,0,0|48.3161,6.22311,3.125
43.9237,6.22311,0|48.3161,12.4462,3.125
35.139,12.4462,0|43.9237,24.8924,6.25
35.139,12.4462,0|39.5314,18.6693,3.125
35.139,18.6693,0|39.5314,24.8924,3.125
43.9237,12.4462,0|52.7085,24.8924,6.25
43.9237,12.4462,0|48.3161,18.6693,3.125
43.9237,18.6693,0|48.3161,24.8924,3.125
35.139,0,6.25|43.9237,12.4462,12.5
35.139,0,6.25|39.5314,6.22311,9.375
35.139,6.22311,6.25|39.5314,12.4462,9.375
43.9237,0,6.25|52.7085,12.4462,12.5
43.9237,0,6.25|48.3161,6.22311,9.375
43.9237,6.22311,6.25|48.3161,12.4462,9.375
35.139,12.4462,6.25|43.9237,24.8924,12.5
35.139,12.4462,6.25|39.5314,18.6693,9.375
35.139,18.6693,6.25|39.5314,24.8924,9.375
43.9237,12.4462,6.25|52.7085,24.8924,12.5
43.9237,12.4462,6.25|48.3161,18.6693,9.375
43.9237,18.6693,6.25|48.3161,24.8924,9.375
52.7085,0,0|70.278,24.8924,12.5
52.7085,0,0|61.4932,12.4462,6.25
52.7085,0,0|57.1008,6.22311,3.125
52.7085,6.22311,0|57.1008,12.4462,3.125
61.4932,0,0|70.278,12.4462,6.25
61.4932,0,0|65.8856,6.22311,3.125
61.4932,6.22311,0|65.8856,12.4462,3.125
52.7085,12.4462,0|61.4932,24.8924,6.25
52.7085,12.4462,0|57.1008,18.6693,3.125
52.7085,18.6693,0|57.1008,24.8924,3.125
61.4932,12.4462,0|70.278,24.8924,6.25
61.4932,12.4462,0|65.8856,18.6693,3.125
61.4932,18.6693,0|65.8856,24.8924,3.125
52.7085,0,6.25|61.4932,12.4462,12.5
52.7085,0,6.25|57.1008,6.22311,9.375
52.7085,6.22311,6.25|57.1008,12.4462,9.375
61.4932,0,6.25|70.278,12.4462,12.5
61.4932,0,6.25|65.8856,6.22311,9.375
61.4932,6.22311,6.25|65.8856,12.4462,9.375
52.7085,12.4462,6.25|61.4932,24.8924,12.5
52.7085,12.4462,6.25|57.1008,18.6693,9.375
52.7085,18.6693,6.25|57.1008,24.8924,9.375
61.4932,12.4462,6.25|70.278,24.8924,12.5
61.4932,12.4462,6.25|65.8856,18.6693,9.375
61.4932,18.6693,6.25|65.8856,24.8924,9.375
35.139,24.8924,0|52.7085,49.7848,12.5
35.139,24.8924,0|43.9237,37.3386,6.25
35.139,24.8924,0|39.5314,31.1155,3.125
35.139,31.1155,0|39.5314,37.3386,3.125
43.9237,24.8924,0|52.7085,37.3386,6.25
43.9237,24.8924,0|48.3161,31.1155,3.125
43.9237,31.1155,0|48.3161,37.3386,3.125
35.139,37.3386,0|43.9237,49.7848,6.25
35.139,37.3386,0|39.5314,43.5617,3.125
35.139,43.5617,0|39.5314,49.7848,3.125
43.9237,37.3386,0|52.7085,49.7848,6.25
43.9237,37.3386,0|48.3161,43.5617,3.125
43.9237,43.5617,0|48.3161,49.7848,3.125
35.139,24.8924,6.25|43.9237,37.3386,12.5
35.139,24.8924,6.25|39.5314,31.1155,9.375
35.139,31.1155,6.25|39.5314,37.3386,9.375
43.9237,24.8924,6.25|52.7085,37.3386,12.5
43.9237,24.8924,6.25|48.3161,31.1155,9.375
43.9237,31.1155,6.25|48.3161,37.3386,9.375
35.139,37.3386,6.25|43.9237,49.7848,12.5
35.139,37.3386,6.25|39.5314,43.5617,9.375
35.139,43.5617,6.25|39.5314,49.7848,9.375
43.9237,37.3386,6.25|52.7085,49.7848,12.5
43.9237,37.3386,6.25|48.3161,43.5617,9.375
